term,crn,dept,course_name,campus,course_num,num
201430,1692,ECE,Thesis 1,M,ECE_00,00
201430,4169,LLT,Dir Stud in Lang and Lit,M,LLT_00,00
201430,5208,ARC,Directed Study,M,ARC_00,00
201410,1001,COM,English Fundamentals,M,COM_0094,0094
201610,1001,TAS,Music for Audio Engr Tech 1,PLY,TAS_1013,1013
201710,1001,TAS,Music for Audio Engr Tech 1,PLY,TAS_1013,1013
201810,1001,TAS,Music for Audio Engr Tech 1,PLY,TAS_1013,1013
201910,1001,TAS,Music for Audio Engr Tech 1,PLY,TAS_1013,1013
201410,1002,COM,English Fundamentals,M,COM_0094,0094
201910,1002,TAS,Audio System Integration,PLY,TAS_4133,4133
201410,1003,COM,English Fundamentals,M,COM_0094,0094
201610,1003,TAS,Audio Principles 1,PLY,TAS_2033,2033
201910,1003,TCE,Surveying,M,TCE_2073,2073
201410,1004,COM,English Fundamentals,M,COM_0094,0094
201910,1004,TCE,Specifications and Regulations,M,TCE_2143,2143
201410,1005,COM,English eLab,DL,COM_00100,00100
201610,1005,TAS,Audio System Integration,PLY,TAS_4133,4133
201710,1005,TAS,Audio System Integration,PLY,TAS_4133,4133
201810,1005,TAS,Audio System Integration,PLY,TAS_4133,4133
201410,1006,COM,University Seminar,M,COM_1001,1001
201610,1006,TCE,Surveying,M,TCE_2073,2073
201710,1006,TCE,Surveying,M,TCE_2073,2073
201810,1006,TCE,Surveying,M,TCE_2073,2073
201910,1006,TCE,Construction Safety,M,TCE_4113,4113
201410,1007,COM,University Seminar,M,COM_1001,1001
201610,1007,TCE,Specifications and Regulations,M,TCE_2143,2143
201710,1007,TCE,Specifications and Regulations,M,TCE_2143,2143
201810,1007,TCE,Specifications and Regulations,M,TCE_2143,2143
201910,1007,TCE,Const Contracts & Legalities,M,TCE_4213,4213
201410,1008,COM,University Seminar,M,COM_1001,1001
201910,1008,TEE,Electronics 1,M,TEE_2033,2033
201410,1009,COM,University Seminar,M,COM_1001,1001
201610,1009,TCE,Green Building Technology,M,TCE_4093,4093
201710,1009,TCE,Green Building Technology,M,TCE_4093,4093
201810,1009,TCE,Green Building Technology,M,TCE_4093,4093
201910,1009,TEE,Electronics 3,M,TEE_2093,2093
201410,1010,COM,University Seminar,M,COM_1001,1001
