year,term,college_id,crn,course_name,dept,campus,course_num,num
2014,Summer,4,4169,Dir Stud in Lang and Lit,LLT,M,LLT_00,00
2014,Summer,2,5208,Directed Study,ARC,M,ARC_00,00
2014,Fall,4,1001,English Fundamentals,COM,M,COM_0094,0094
2016,Fall,1,1001,Music for Audio Engr Tech 1,TAS,PLY,TAS_1013,1013
2017,Fall,1,1001,Music for Audio Engr Tech 1,TAS,PLY,TAS_1013,1013
2018,Fall,1,1001,Music for Audio Engr Tech 1,TAS,PLY,TAS_1013,1013
2019,Fall,1,1001,Music for Audio Engr Tech 1,TAS,PLY,TAS_1013,1013
2014,Fall,4,1002,English Fundamentals,COM,M,COM_0094,0094
2019,Fall,1,1002,Audio System Integration,TAS,PLY,TAS_4133,4133
2014,Fall,4,1003,English Fundamentals,COM,M,COM_0094,0094
2016,Fall,1,1003,Audio Principles 1,TAS,PLY,TAS_2033,2033
2019,Fall,1,1003,Surveying,TCE,M,TCE_2073,2073
2014,Fall,4,1004,English Fundamentals,COM,M,COM_0094,0094
2019,Fall,1,1004,Specifications and Regulations,TCE,M,TCE_2143,2143
2014,Fall,4,1005,English eLab,COM,DL,COM_00100,00100
2016,Fall,1,1005,Audio System Integration,TAS,PLY,TAS_4133,4133
2017,Fall,1,1005,Audio System Integration,TAS,PLY,TAS_4133,4133
2018,Fall,1,1005,Audio System Integration,TAS,PLY,TAS_4133,4133
2014,Fall,4,1006,University Seminar,COM,M,COM_1001,1001
2016,Fall,1,1006,Surveying,TCE,M,TCE_2073,2073
2017,Fall,1,1006,Surveying,TCE,M,TCE_2073,2073
2018,Fall,1,1006,Surveying,TCE,M,TCE_2073,2073
2019,Fall,1,1006,Construction Safety,TCE,M,TCE_4113,4113
2014,Fall,4,1007,University Seminar,COM,M,COM_1001,1001
2016,Fall,1,1007,Specifications and Regulations,TCE,M,TCE_2143,2143
2017,Fall,1,1007,Specifications and Regulations,TCE,M,TCE_2143,2143
2018,Fall,1,1007,Specifications and Regulations,TCE,M,TCE_2143,2143
2019,Fall,1,1007,Const Contracts & Legalities,TCE,M,TCE_4213,4213
2014,Fall,4,1008,University Seminar,COM,M,COM_1001,1001
2019,Fall,1,1008,Electronics 1,TEE,M,TEE_2033,2033
2014,Fall,4,1009,University Seminar,COM,M,COM_1001,1001
2016,Fall,1,1009,Green Building Technology,TCE,M,TCE_4093,4093
2017,Fall,1,1009,Green Building Technology,TCE,M,TCE_4093,4093
2018,Fall,1,1009,Green Building Technology,TCE,M,TCE_4093,4093
2019,Fall,1,1009,Electronics 3,TEE,M,TEE_2093,2093
2014,Fall,4,1010,University Seminar,COM,M,COM_1001,1001
2016,Fall,1,1010,Construction Safety,TCE,M,TCE_4113,4113
2017,Fall,1,1010,Construction Safety,TCE,M,TCE_4113,4113
2018,Fall,1,1010,Construction Safety,TCE,M,TCE_4113,4113
2019,Fall,1,1010,DC/AC Circuits,TEE,M,TEE_3103,3103
2014,Fall,4,1011,University Seminar,COM,M,COM_1001,1001
2016,Fall,1,1011,Const Contracts & Legalities,TCE,M,TCE_4213,4213
2017,Fall,1,1011,Const Contracts & Legalities,TCE,M,TCE_4213,4213
2018,Fall,1,1011,Const Contracts & Legalities,TCE,M,TCE_4213,4213
2019,Fall,1,1011,Transduc & Instrument,TEE,M,TEE_4224,4224
2014,Fall,4,1012,University Seminar,COM,M,COM_1001,1001
2016,Fall,1,1012,Electronics 1,TEE,M,TEE_2033,2033
2017,Fall,1,1012,Electronics 1,TEE,M,TEE_2033,2033
2018,Fall,1,1012,Electronics 1,TEE,M,TEE_2033,2033
2019,Fall,1,1012,MFG ENG Processes,TIE,M,TIE_3063,3063
2014,Fall,4,1013,University Seminar,COM,M,COM_1001,1001
